Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property
360290067011,1067807.809,1060069.02423,104.94296577946768,52.95417264741152,90.64814767462674,0.274170274,0.0,38976,0.024,0.053391053,0.0,0.057742782,0.0,0.282828283,0.077922078,0.23373494,0.081927711,0.0,0.149606299,0.0,0.0,1900.0,179500.0,0.175853018,18.250950570342205
360290055004,1068243.87256,1070863.62101,48.8479262672811,53.1288037431413,84.82093113376638,0.459879206,0.0,16989,0.059936909,0.006902502,0.366695427,0.223529412,0.024630542,0.552200173,0.238779174,0.082524272,0.186893204,0.0,0.220588235,0.191176471,0.0,1913.0,83000.0,0.252941176,12.903225806451612
360290010003,1089018.0182,1037119.82219,36.36363636363637,35.48098812972158,154.39605391696892,0.213375796,0.062622309,33456,0.121538462,0.167550371,0.16330859,0.323353293,0.444444444,0.130434783,0.023758099,0.571052632,0.105263158,0.0,0.721556886,0.0,0.073170732,1910.0,76000.0,0.119760479,5.741626794258373
360290043002,1087526.06501,1072406.38488,31.125827814569533,31.191445676549726,77.8688713334084,0.5,0.045714286,34801,0.042600897,0.137982196,0.212166172,0.66873065,1.0,0.890207715,0.0,0.729050279,0.0,0.0,0.458204334,0.0,0.0,1925.0,47000.0,0.13622291,12.582781456953644
360290006004,1085281.65876,1032440.62598,36.89320388349515,21.19498995278916,151.78748127532242,0.021008403,0.098591549,41930,0.120980092,0.338440111,0.08913649,0.26645768,1.0,0.034818942,0.0,0.692789969,0.0,0.0,0.887147335,0.0,0.005571031,1933.0,113000.0,0.065830721,5.501618122977346
360290065012,1068335.55003,1063271.32703,74.43181818181817,54.86627799935447,89.89247732861685,0.166498486,0.078988942,42869,0.014066496,0.110998991,0.19778002,0.144869215,0.581632653,0.136226034,0.0,0.289738431,0.018108652,0.0,0.350100604,0.068410463,0.0,1900.0,309500.0,0.044265594,5.113636363636364
360290038002,1089621.92423,1062845.17034,37.79904306220095,42.163073830738405,99.0402734990205,0.175990676,0.25862069,18331,0.280163599,0.062937063,0.233100233,0.176678445,0.191860465,1.0,0.01547619,0.671686747,0.0,0.0,0.356890459,0.0,0.0,1920.0,41000.0,0.243816254,9.569377990430622
360290041001,1085811.00606,1066364.36092,46.84095860566449,40.91406918352233,87.54636718416168,0.456452638,0.055258467,13533,0.170967742,0.086404066,0.367217281,0.225746269,0.863888889,0.99047014,0.06028076,0.510176391,0.075983718,0.0,0.343283582,0.0,0.0,1920.0,44000.0,0.220149254,14.814814814814811
360290171003,1066213.97587,1065488.7516,59.83606557377049,67.42631378024345,81.8747382522858,0.228873239,0.054054054,26053,0.103703704,0.065140845,0.25528169,0.150470219,1.0,0.306338028,0.015122873,0.181208054,0.042505593,0.0,0.263322884,0.037617555,0.0,1900.0,100000.0,0.429467085,9.836065573770492
360290067014,1068717.8849,1059276.4587,31.67701863354037,56.3709840223866,88.85821950733649,0.002902758,0.10982659,59302,0.042662116,0.162554427,0.113207547,0.0,0.576923077,0.274310595,0.0,0.227459016,0.229508197,0.0,0.341880342,0.0,0.0,1900.0,296000.0,0.194444444,6.832298136645963
360290059002,1062576.58166,1072040.65394,50.256410256410255,48.644288438312,72.49006299514701,0.489192264,0.340720222,15453,0.228464419,0.092150171,0.259385666,0.403076923,0.793859649,0.584755404,0.208718626,0.217877095,0.0,0.0,0.4,0.095384615,0.0,1900.0,53000.0,0.335384615,4.615384615384616
360290058021,1062602.69844,1076168.57947,47.72036474164133,42.49956397523909,70.28950341682715,0.443249701,0.115183246,18932,0.291233284,0.157706093,0.11827957,0.407925408,0.515151515,0.514934289,0.132616487,0.368534483,0.122844828,0.0,0.27972028,0.016317016,0.0,1910.0,73000.0,0.596736597,7.598784194528875
360290043005,1087524.15871,1074133.03592,29.45205479452055,37.01522393243317,77.86800745375913,0.333900613,0.0,20211,0.170437406,0.094622192,0.306671205,0.292145594,0.857798165,0.755956433,0.0,0.608192342,0.0,0.0,0.462643678,0.0,0.0,1926.0,64000.0,0.0,15.753424657534246
360290056004,1065951.21246,1074125.37773,42.61363636363637,46.62956322421462,75.9595933965291,0.22783979,0.079522863,17240,0.112849162,0.084044649,0.363755745,0.34416826,0.380252101,0.810242942,0.043055556,0.317073171,0.196747967,0.0,0.346080306,0.0,0.0,1910.0,66000.0,0.187380497,9.659090909090908
360290045006,1079622.61123,1074533.16045,21.5686274509804,41.21486312101412,86.05017983760085,0.0,0.0,72700,0.0,0.246478873,0.122065728,0.204724409,0.653846154,0.084507042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1925.0,240000.0,0.0,7.352941176470589
360290168011,1074670.01562,1059268.01071,32.594936708860764,40.19630223039995,95.54796653965688,0.191855204,0.075085324,21860,0.098387097,0.098920863,0.17176259,0.218241042,0.461956522,0.951438849,0.068441065,0.39213198,0.0,0.0,0.615635179,0.058631922,0.006294964,1900.0,56000.0,0.426710098,8.860759493670885
360290040031,1081911.26454,1070486.37957,38.73873873873874,40.75313317390662,73.57536181476881,0.325816485,0.162337662,15436,0.295302013,0.166407465,0.379471229,0.595197256,0.945626478,0.958786936,0.003246753,0.133971292,0.377990431,0.0,0.123499142,0.010291595,0.0,1950.0,35000.0,0.370497427,9.00900900900901
