ntree,mtry,maxdepth,r2,rmse
20,7,15,0.362215774,4.710628239
150,7,20,0.361582778,4.71296529
90,7,5,0.361464286,4.713402642
150,7,15,0.360790038,4.715890492
70,7,15,0.360781935,4.715920384
300,7,10,0.359848131,4.719363761
270,7,10,0.359823269,4.719455403
100,7,15,0.359532582,4.720526769
70,7,5,0.359446177,4.720845182
290,7,10,0.359431438,4.720899494
230,7,20,0.359178164,4.721832698
80,7,15,0.359052384,4.722296075
170,7,20,0.358985626,4.722541993
290,7,20,0.358811258,4.723184261
110,7,10,0.358797796,4.723233841
150,7,10,0.358765516,4.723352731
280,7,10,0.358160128,4.72558186
100,7,20,0.358010752,4.726131723
180,7,20,0.357942308,4.726383646
50,11,10,0.357934825,4.72641119
240,7,20,0.357822518,4.726824531
300,7,20,0.357708281,4.72724494
160,7,20,0.357665252,4.727403285
220,7,20,0.357620474,4.72756806
150,7,5,0.357562037,4.727783085
230,7,15,0.357524883,4.727919793
210,7,20,0.357375701,4.728468671
290,7,15,0.35723049,4.729002878
220,7,15,0.357020461,4.72977543
270,7,20,0.356922821,4.730134538
260,7,10,0.356889447,4.730257275
160,7,10,0.356771202,4.730692119
300,7,15,0.356638777,4.731179061
210,7,15,0.356569916,4.731432249
260,7,20,0.356453353,4.731860801
250,7,10,0.356340992,4.732273866
250,7,20,0.356031081,4.733412982
240,7,15,0.355994166,4.733548653
270,7,15,0.355983173,4.733589052
170,7,10,0.355932226,4.73377628
280,7,20,0.355698751,4.7346342
190,7,20,0.355538121,4.735224356
170,7,15,0.355434252,4.735605934
10,7,10,0.355320729,4.736022942
180,7,15,0.355302507,4.736089874
40,7,20,0.355082623,4.736897461
280,7,15,0.355078759,4.736911652
180,7,5,0.355016173,4.737141492
200,7,20,0.354887897,4.737612536
260,7,15,0.354701045,4.738298594
160,7,15,0.354349197,4.739590193
70,7,20,0.354320307,4.739696231
190,7,5,0.354302583,4.73976128
70,7,10,0.354231471,4.740022273
250,7,15,0.354214772,4.74008356
170,7,5,0.354072186,4.740606823
80,7,20,0.35401843,4.740804084
90,7,15,0.353975036,4.740963312
180,7,10,0.353918021,4.741172515
200,7,15,0.353421709,4.742993219
190,7,15,0.353204036,4.743791527
240,7,10,0.353188208,4.743849569
190,7,10,0.353096285,4.74418665
100,7,10,0.353078492,4.744251892
