his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,lon,lat
-2.235322959,-0.233555701,0.179828953,-0.034049491,-0.078646103,-0.017734867,0.051854056,-0.021788473,0.024066942,-0.024342193,-0.099952449,-1.134200109,-0.012635871,0.003923958,0.011740812,-0.007703279,-0.176960459,-0.000618286,-0.011795022,0.087557764,-0.329351569,-0.026203017,0.007269123,-0.453040794
-2.442365011,-0.239459044,0.173791884,-0.015978492,-0.045632407,-0.213591618,0.049195489,-0.006961056,-0.019449965,-0.116196263,-0.11597304,-1.292656666,-0.005997063,-0.03323681,0.003532022,-0.007052432,-0.169732115,-0.001176611,0.074108821,-0.032435749,-0.37958553,0.02420324,0.010485989,-0.527693768
-0.97501798,-0.239452417,0.147172642,-0.066638937,0.013100079,-0.083674352,-0.075664698,0.097448762,-0.046382448,-0.045142645,0.038915301,-1.316064051,-0.041440855,-0.02045673,-0.030240071,-0.003812236,-0.214424235,-0.006214921,-0.08192458,0.041896243,-0.27240032,0.027097585,-0.015111521,-0.53826284
-1.972348023,-0.061688304,0.102890834,-0.067393696,-0.003440903,-0.128581659,0.088568855,0.030654724,0.024612174,-0.113013695,-0.042775078,-1.152358,-0.009482072,0.005654246,0.016425191,-0.005777693,-0.158209205,-0.00217692,0.129627176,0.193152614,-0.296465449,0.165712243,0.101333145,-0.463819724
-2.483509332,-0.33594971,-0.026867629,-0.128530471,-0.085857845,-0.171173158,0.031579952,-0.052301469,-0.055860018,-0.154400366,-0.20506134,-1.377326305,-0.017225656,-0.046410499,-0.000136084,-0.007796904,-0.216887465,-0.004132835,0.078464015,-0.074020472,-0.41933462,0.040891723,0.037705274,-0.589814563
-2.702163786,-0.254025615,0.011462942,-0.088838823,-0.088663249,-0.182321375,-0.02785272,-0.024571439,-0.026583005,-0.00434913,-0.111853037,-1.304337759,-0.011139578,-0.014224367,-0.000158335,-0.007348012,-0.202850609,-0.004093627,-0.21178632,-0.038642275,-0.404033131,0.119265163,0.084593145,-0.708099147
-2.599408499,-0.222321338,0.044111725,-0.095078502,-0.097197439,-0.214989991,0.016700766,0.004268606,-0.029274477,-0.150635682,-0.046716575,-1.305515662,-0.04890306,0.010552982,-0.032854899,-0.007956913,-0.108585802,-0.002672323,-0.24146106,-0.055434436,-0.409514044,-0.057450989,0.031669517,-0.677082033
-2.385384339,-0.223249472,0.041143303,-0.091173179,-0.102449391,-0.206647202,0.052482653,-0.016878108,-0.06728,-0.147370194,-0.172806588,-1.378837002,-0.017070338,-0.023023724,0.002269072,-0.008142865,-0.200570307,-0.007172199,-0.186315548,-0.003499014,-0.395478666,-0.000550337,0.008136512,-0.578894816
-2.065391334,-0.081975069,0.277987265,-0.064259266,-0.07232633,0.019687309,-0.040431448,-0.042189154,-0.020774965,0.050246489,-0.079675849,-0.677643047,-0.016125373,-0.043633869,-0.007153325,-0.007496471,-0.220840054,0.000325567,0.117260908,0.106794853,-0.26007015,0.111068638,-0.024084177,-0.326040668
-0.833198049,-0.135109008,0.235337546,-0.019940649,0.064447078,-0.031973929,0.034508139,-0.052015463,-0.041261196,-0.011892751,-0.05374248,-1.062935324,-0.03430874,-0.008795214,-0.014605376,-0.003679682,-0.2284885,-0.000418411,0.10174172,0.078362949,-0.203193,0.073262445,-0.064905274,-0.217197191
-2.161242181,-0.135516122,0.129551878,-0.044262597,-0.002461058,-0.01474962,-0.035837515,-0.055071796,-0.072441378,-0.095389849,-0.107985614,-0.964697673,-0.03070506,-0.090400826,-0.033085799,-0.006865862,-0.258554415,-0.004475791,-0.40838225,0.083966936,-0.367785945,0.007623237,-0.012655752,-0.508405145
