his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,lon,lat
17.93478261,25.51881416,150.6308617,0.114285714,0,34116,0.026030369,0.168421053,0.306766917,0.229559748,0.137254902,0.030075188,0.001642036,0.776243094,0,0,0.839622642,0,0.007518797,1940,137000,0.279874214,1085458.222,1034354.887
23.83292383,23.64500813,150.3216596,0.190130624,0.044117647,55035,0,0.233671988,0.088534107,0,0,0,0,0.880299252,0,0,0.922693267,0.024937656,0,1935,121000,0.117206983,1085331.408,1033383.867
36.89320388,21.19498995,151.7874813,0.021008403,0.098591549,41930,0.120980092,0.338440111,0.08913649,0.26645768,1,0.034818942,0,0.692789969,0,0,0.887147335,0,0.005571031,1933,113000,0.065830721,1085281.659,1032440.626
30.15075377,32.5282548,156.994584,0.010221465,0.050209205,57467,0.017948718,0.260647359,0.31516184,0.125,0.254054054,0.115843271,0,0.832116788,0,0,0.912878788,0,0,1925,154000,0,1088765.01,1034990.214
27.69230769,24.22002446,157.464,0,0.027322404,36523,0,0.158075601,0.265750286,0.124183007,0.125925926,0.111111111,0,0.843137255,0,0,0.928104575,0,0,1928,140000,0.019607843,1089083.858,1033866.636
23.52941176,20.46636291,158.1195271,0.073746313,0,37706,0.140468227,0.262536873,0.088495575,0.275,0,0.07079646,0,0.75,0,0,0.86875,0,0.050147493,1950,138000,0,1088955.347,1032538.054
13.24041812,26.64035733,154.2475083,0.058095238,0,41508,0.037037037,0.326939843,0.063644289,0.170689655,0.523076923,0.034001744,0.003626473,0.469767442,0.013953488,0,0.496551724,0,0.084568439,1949,135000,0.179310345,1087499.031,1033109.013
29.95951417,26.52756832,154.1109642,0.031887755,0,47948,0.015280136,0.230867347,0.169642857,0.174698795,0.135338346,0.035714286,0,0.68907563,0,0,0.88253012,0,0.011479592,1930,146000,0.090361446,1087246.068,1035056.56
29.48717949,30.04809681,149.5707045,0.05344296,0.020220588,30061,0.209580838,0.162384378,0.21274409,0.303116147,0.183246073,0.274409044,0.035106383,0.645892351,0.016997167,0,0.722379603,0,0,1920,121000,0.016997167,1084924,1036775.191
35.16260163,31.64568335,147.9040275,0.17496112,0.161556604,40029,0.033745782,0.099845201,0.205108359,0.2864494,0.401015228,0.116099071,0,0.3354531,0,0,0.677530017,0,0,1920,107000,0.10806175,1084431.861,1038843.437
31,35.53628297,153.0094557,0.169237962,0.072131148,31125,0.068711656,0.124357176,0.205236092,0.215946844,0.246153846,0.203833567,0,0.601075269,0.011827957,0,0.695459579,0,0.032725573,1920,114000,0.03654485,1086091.844,1037697.984
36.09756098,31.83511176,155.1079766,0.066549912,0,51605,0.03286385,0.129597198,0.210157618,0.032258065,0,0.04028021,0,0.5,0.048387097,0,0.758064516,0,0,1925,146000,0,1087441.514,1036181.774
27.61904762,41.45982604,146.7378738,0.041067762,0,36338,0.014457831,0.316221766,0.147843943,0.477876106,0.152777778,0.006160164,0,0.411149826,0,0,0.646017699,0,0,1950,114000,0.044247788,1084718.242,1040935.379
41.10671937,33.97348963,149.8846642,0.102189781,0.051886792,30019,0.023752969,0.195255474,0.217153285,0.401486989,0.294117647,0.217153285,0,0.517142857,0,0,0.687732342,0,0,1925,132500,0.037174721,1085917.631,1039903.91
35,36.15678524,152.4366661,0.092369478,0.059096176,40839,0.039735099,0.126907631,0.082730924,0.162751678,0.737864078,0.155823293,0.000845309,0.40397351,0.069536424,0,0.583892617,0,0.004016064,1925,116000,0.093959732,1086686.485,1038895.689
33.69863014,36.6477377,153.4195795,0.200723327,0.109852775,31603,0.112299465,0.027124774,0.122061483,0.263888889,0.466666667,0.037974684,0,0.194666667,0.025333333,0,0.241319444,0,0,1910,84000,0.164930556,1089643.386,1038528.014
43.68421053,33.31921091,153.214,0.420600858,0,18035,0.149377593,0.226037196,0.310443491,0.65625,0.285714286,0.618025751,0.02349486,0.3203125,0,0,0.3359375,0,0,1908,81000,0,1089045.918,1040033.273
