,Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property,distance
158,360290051001,1076543.75911,1077359.20022,32.92517006802721,33.192704775936235,82.3341715053448,0.087373737,0.0,46045,0.012292563,0.134224864,0.086181278,0.198820556,0.207407407,0.197622585,0.033112583,0.48946925,0.01600674,0.0,0.609098568,0.0,0.0,1946.0,140000.0,0.127211457,5.850340136054422,19534.58120413539
159,360290051002,1072902.98991,1076950.24661,20.0,37.12784046149698,81.5116522792158,0.553014553,0.057416268,21623,0.121597096,0.108108108,0.303534304,0.287804878,0.279850746,0.681912682,0.0,0.215885947,0.285132383,0.0,0.2,0.0,0.0,1927.0,140000.0,0.358536585,9.230769230769232,19521.970778351413
160,360290051003,1073238.4559,1077749.4132,30.656934306569344,30.40034404566424,81.4373404055056,0.151414309,0.057692308,41147,0.039130435,0.212978369,0.0,0.042959427,0.0,0.387687188,0.0,0.181384248,0.0,0.0,0.291169451,0.0,0.0,1925.0,147500.0,0.22673031,10.218978102189782,20088.37250277771
161,360290051004,1072530.63681,1075400.09221,33.730158730158735,39.28325429087624,84.27944170480903,0.491628615,0.079002079,28248,0.130584192,0.086494689,0.314871017,0.3974122,0.85971223,0.541729894,0.011111111,0.269421488,0.0,0.0,0.249537893,0.0,0.008345979,1922.0,181000.0,0.219963031,6.349206349206349,18460.58941204388
162,360290052011,1077422.7424,1071644.73558,43.38235294117647,42.60752772809458,89.96931162974214,0.125822368,0.037546934,44871,0.007658643,0.123355263,0.186677632,0.162046908,0.259911894,0.076480263,0.0,0.388560158,0.0,0.041420118,0.665245203,0.049040512,0.022203947,1913.5,281500.0,0.017057569,7.720588235294118,15730.275632984916
163,360290052012,1078284.19627,1070362.11152,63.020833333333336,46.22874136429283,87.4286,0.023160763,0.075247525,54436,0.0,0.187837838,0.160810811,0.125714286,0.230088496,0.233783784,0.0,0.331775701,0.0,0.0,0.56,0.0,0.0,1912.0,226000.0,0.0,10.9375,15131.221446220046
165,360290052014,1077109.89278,1069555.94646,38.70967741935484,49.50141768663987,88.26705821880809,0.0,0.025518341,60958,0.026011561,0.121076233,0.182735426,0.082089552,0.202453988,0.054932735,0.0,0.557919622,0.14893617,0.0,0.569651741,0.0,0.0,1910.0,258000.0,0.029850746,8.064516129032258,14706.513550666994
166,360290052021,1076308.26613,1065633.23659,37.05179282868526,57.20779127337846,91.34460070335496,0.277886497,0.040194884,18750,0.0,0.04871955,0.099937539,0.262295082,1.0,0.54091193,0.003203075,0.485645933,0.0,0.0,0.530054645,0.0,0.3766396,1917.0,119000.0,0.128415301,5.179282868525896,13381.036779866514
167,360290052022,1077900.94994,1065782.39101,40.10416666666667,48.96088976885377,90.61466276238228,0.377099237,0.065217391,26037,0.123287671,0.142748092,0.267938931,0.288248337,0.226837061,0.872519084,0.086021505,0.340836013,0.0,0.0,0.620842572,0.015521064,0.0,1916.0,103000.0,0.159645233,12.239583333333332,13457.405590547904
168,360290053001,1075736.06753,1069633.34067,39.42857142857143,49.54745928166117,89.0818547092232,0.078145695,0.025817556,57743,0.0,0.085750315,0.151324086,0.261146497,0.313043478,0.292559899,0.024064171,0.461783439,0.0,0.0,0.461783439,0.0,0.041614124,1910.0,243000.0,0.031847134,11.428571428571429,14765.57387236271
169,360290053002,1074264.29324,1067745.04732,88.88888888888889,45.47217711203416,90.08469260688784,0.473684211,0.112195122,11708,0.142307692,0.078612717,0.005780347,0.349206349,0.0,0.485549133,0.0,0.091346154,0.783653846,0.0,0.211640212,0.0,0.739884393,1920.0,253500.0,0.64021164,28.88888888888889,14158.357038649428
170,360290054001,1072208.49577,1070319.23648,40.67796610169492,50.24419341107858,92.20300419864046,0.067035245,0.160443996,76523,0.017369727,0.217000691,0.107118176,0.0968523,0.0,0.230131306,0.016487455,0.296938776,0.241836735,0.0,0.437046005,0.0,0.0,1934.0,419000.0,0.078692494,8.192090395480225,15583.255195384392
